station year pressure temperature precipitations low_clouds
Brest 2013 1016.3712067840835 11.273732876712351 1243.4 Stratocumulus
Brest 2014 1013.9685283757339 12.264144814090042 1376.9 Cumulus
Brest 2015 1019.0896406827571 11.961604696673213 1169.2 Stratocumulus
Brest 2016 1017.3420006071646 11.631390948911463 1103.4 "low clouds absent"
"Le Puy" 2013 NA 8.270671441653608 694.3000000000001 "low clouds absent"
"Le Puy" 2014 NA 9.63056914546643 736 "low clouds absent"
"Le Puy" 2015 NA 9.743134920634944 453.1 "low clouds absent"
"Le Puy" 2016 NA 9.15669669962705 707.3 "low clouds absent"
Nancy 2013 1016.5700567514677 9.610720482713656 940.4 "low clouds absent"
Nancy 2014 1015.4245499021526 11.342480430528399 687.7 "low clouds absent"
Nancy 2015 1019.4638327446363 11.123809632827513 584.1 "low clouds absent"
Nancy 2016 1017.7803909705959 10.33488225344785 774 "low clouds absent"
Nice 2013 1013.7098679060665 15.843194716242683 984.2 Stratocumulus
Nice 2014 1013.9047994129158 16.69864970645795 1236.9 Stratocumulus
Nice 2015 1017.0460692541857 16.79893455098937 547.2 "low clouds absent"
Nice 2016 1015.6052708387544 16.60836000520429 472.8 "low clouds absent"
Toulouse 2013 1017.3234491193738 13.36501467710374 722.3 Stratocumulus
Toulouse 2014 1016.2418346379648 14.65443248532292 675.2 Cumulus
Toulouse 2015 1020.3407333115895 14.574327027614721 494.1 "low clouds absent"
Toulouse 2016 1018.5247885766329 14.312166601613345 548.3 "low clouds absent"
